"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency","job_category","State"
"1",11,"AK","NORTHERN STAR (POGO) LLC",6,"Management Occupations","Alaska"
"2",11,"AK","ARCTIC SLOPE REGIONAL CORPORATION",1,"Management Occupations","Alaska"
"3",11,"AK","ASRC ENERGY SERVICES, LLC",1,"Management Occupations","Alaska"
"4",11,"AK","FRONTIER MEDIA LLC",1,"Management Occupations","Alaska"
"5",11,"AK","LAKE CLARK AIR, INC",1,"Management Occupations","Alaska"
"6",11,"AL","PURE PERFORMANCE, LLC",3,"Management Occupations","Alabama"
"7",11,"AL","THE UNIVERSITY OF ALABAMA AT BIRMINGHAM",3,"Management Occupations","Alabama"
"8",11,"AL","HIGHLANDS UNITED METHODIST CHURCH",2,"Management Occupations","Alabama"
"9",11,"AL","KELLEY'S WELDING EXCAVATION INC",2,"Management Occupations","Alabama"
"10",11,"AL","NORTON LILLY INTERNATIONAL, INC",2,"Management Occupations","Alabama"
"11",11,"AR","WAL-MART ASSOCIATES, INC",46,"Management Occupations","Arkansas"
"12",11,"AR","FEDERAL SOFT SYSTEMS INC",2,"Management Occupations","Arkansas"
"13",11,"AR","KITESTRING CONSULTING INC",2,"Management Occupations","Arkansas"
"14",11,"AR","RPM UNDERWOOD-MELTON",2,"Management Occupations","Arkansas"
"15",11,"AR","UNIVERSITY OF CENTRAL ARKANSAS",2,"Management Occupations","Arkansas"
"16",11,"AZ","AXWAY, INC",6,"Management Occupations","Arizona"
"17",11,"AZ","MADD GEAR LLC",5,"Management Occupations","Arizona"
"18",11,"AZ","ARIZONA STATE UNIVERSITY",4,"Management Occupations","Arizona"
"19",11,"AZ","GODADDY.COM, LLC",4,"Management Occupations","Arizona"
"20",11,"AZ","INTRAEDGE, INC",4,"Management Occupations","Arizona"
"21",11,"CA","FACEBOOK, INC",253,"Management Occupations","California"
"22",11,"CA","GOOGLE LLC",192,"Management Occupations","California"
"23",11,"CA","APPLE INC",158,"Management Occupations","California"
"24",11,"CA","SALESFORCE.COM, INC",122,"Management Occupations","California"
"25",11,"CA","LINKEDIN CORPORATION",113,"Management Occupations","California"
"26",11,"CO","FIVE RIVERS CATTLE FEEDING, LLC",23,"Management Occupations","Colorado"
"27",11,"CO","ARROW ELECTRONICS INC",15,"Management Occupations","Colorado"
"28",11,"CO","CHARLES SCHWAB AND COMPANY, INC",10,"Management Occupations","Colorado"
"29",11,"CO","HP INC",9,"Management Occupations","Colorado"
"30",11,"CO","ARCADIS U.S., INC",8,"Management Occupations","Colorado"
"31",11,"CT","AETNA RESOURCES LLC",16,"Management Occupations","Connecticut"
